holiday,temp,clouds_all,weather_main,traffic_volume,hour,Weekday
no,274.42,90,Drizzle,5739,17,1
no,277.51,90,Clouds,5692,12,5
no,268.07,5,Snow,4546,11,3
no,291.36,90,Rain,2045,23,1
no,251.5,5,Clear,4003,14,6
no,255.41,1,Clear,6427,16,3
no,293.16,1,Rain,4579,11,1
no,283.15,1,Clear,447,3,7
no,273.95,90,Snow,903,23,2
no,264.28,90,Mist,2651,5,4
no,283.79,1,Clear,5329,9,2
no,287.09,90,Mist,5777,15,6
no,272.32,64,Rain,3449,18,5
no,293.26,20,Clouds,2889,5,2
no,257.55,1,Haze,4944,12,3
no,294.49,90,Thunderstorm,2118,21,7
no,276.0,90,Drizzle,6293,7,4
no,265.65,90,Snow,3371,11,7
no,298.75,75,Clouds,3360,19,2
no,286.62,75,Thunderstorm,355,3,1
no,275.15,90,Snow,274,2,3
no,270.47,75,Mist,946,7,7
no,274.01,90,Haze,4151,15,4
no,296.09,1,Clear,4073,12,4
no,289.96,90,Drizzle,5490,8,2
no,278.89,75,Drizzle,4215,10,3
no,291.85,75,Clouds,3270,19,6
no,272.91,90,Rain,3439,18,2
no,282.01,75,Clouds,6824,7,2
no,294.61,1,Clear,2670,5,4
no,271.17,20,Clouds,6079,8,3
no,287.86,20,Clouds,1365,7,6
no,276.22,90,Clouds,5405,12,5
no,256.96,40,Clouds,686,2,7
no,279.48,1,Clear,480,2,7
no,259.82,1,Clear,5690,6,3
no,298.78,90,Clouds,3971,18,6
no,303.59,75,Thunderstorm,3688,19,5
no,255.95,40,Clouds,6286,7,5
no,283.85,92,Clouds,5703,8,3
no,282.83,1,Clear,2512,22,5
no,269.15,1,Clear,3751,21,4
no,267.95,90,Clouds,2693,19,7
no,275.03,90,Rain,2300,9,7
no,271.61,75,Clouds,270,2,1
no,286.29,90,Drizzle,6082,15,2
no,261.58,75,Mist,356,3,4
no,281.11,90,Rain,3780,18,1
no,268.35,1,Clear,302,3,1
no,273.948,32,Clouds,344,2,5
no,259.39,1,Clear,360,3,5
no,301.68,75,Clouds,4174,13,6
no,300.96,24,Clouds,6637,16,5
no,264.16,1,Clear,882,7,5
no,293.77,75,Rain,5100,9,2
no,279.02,90,Clouds,395,3,2
no,277.36,90,Drizzle,597,0,5
no,277.41,75,Mist,1006,23,1
no,301.29,1,Clear,4755,14,7
no,299.59,92,Rain,1618,22,1
no,300.78,40,Clouds,4452,12,1
no,263.68,75,Haze,3914,10,1
no,267.94,64,Mist,2051,8,6
no,289.872,92,Clouds,4908,11,5
no,265.72,90,Snow,2453,20,5
no,295.82,75,Clouds,1956,22,3
no,255.95,64,Clouds,1907,21,1
no,282.22,1,Clear,830,4,6
no,275.03,90,Rain,2300,9,7
no,290.23,40,Rain,380,3,3
no,294.51,75,Clouds,4887,13,5
no,273.09,90,Clouds,530,0,4
no,281.14,1,Clear,3806,22,6
no,283.84,56,Clouds,5369,6,5
no,297.51,40,Clouds,6511,16,4
no,299.02,75,Clouds,3240,19,5
no,268.34,64,Clouds,5991,6,2
no,287.65,90,Mist,3405,19,2
no,276.47,75,Clouds,3230,19,1
no,263.43,20,Clouds,3560,16,5
no,300.47,48,Clouds,2707,21,7
no,299.95,1,Haze,5453,11,4
no,303.04,1,Clear,5007,17,5
no,295.28,20,Rain,4549,16,1
no,286.44,90,Drizzle,5655,17,6
no,275.88,90,Clouds,4418,13,2
no,291.61,75,Mist,1556,7,5
no,261.52,90,Clouds,3892,10,6
no,277.31,75,Clouds,6449,7,1
no,274.81,40,Mist,5082,9,3
no,259.37,64,Clouds,5582,15,7
no,284.38,90,Clouds,3235,14,6
no,284.2,0,Clear,4045,9,6
no,290.86,90,Rain,2665,21,4
no,276.29,90,Rain,5687,15,2
no,300.86,20,Clouds,4875,13,2
no,276.66,1,Mist,444,1,5
no,266.68,90,Clouds,2934,21,3
no,274.88,90,Rain,5552,6,2
no,301.44,40,Clouds,6496,16,5
no,297.54,88,Clouds,6040,15,4
no,265.14,90,Snow,1280,7,6
no,283.61,75,Clouds,4967,9,3
no,292.09,1,Clear,5017,12,4
no,271.94,1,Clear,4461,22,6
no,264.36,75,Clouds,4896,18,5
no,288.22,75,Clouds,1390,23,4
no,288.15,1,Clear,912,6,7
no,260.66,75,Clouds,2331,21,2
no,264.15,40,Clouds,2886,20,2
no,275.02,90,Mist,3442,21,2
no,270.3,90,Snow,3215,11,7
no,271.95,90,Mist,1580,21,1
no,298.15,90,Clouds,3418,19,3
no,289.36,90,Rain,516,0,3
no,276.96,5,Clear,4551,17,6
no,290.19,90,Mist,4423,18,2
no,279.02,1,Clear,5755,15,2
no,292.66,0,Rain,5490,9,6
no,284.68,40,Clouds,5895,8,3
no,298.79,90,Rain,6135,16,3
no,274.49,90,Clouds,4418,11,5
no,292.59,90,Rain,5652,15,4
no,283.43,1,Clear,341,1,4
no,305.0,1,Clear,6163,16,1
no,293.68,90,Mist,3050,10,5
no,270.47,75,Snow,2554,20,4
no,274.23,64,Clouds,4490,15,6
no,290.29,90,Clouds,5237,9,3
no,278.39,90,Drizzle,1124,23,7
no,257.28,40,Clouds,6450,16,7
no,288.84,76,Clouds,4776,12,4
no,260.74,99,Clouds,2912,19,2
no,299.69,75,Rain,6272,16,4
no,262.87,64,Clouds,5747,6,3
no,274.0,90,Mist,1917,23,4
no,296.15,75,Thunderstorm,2497,21,5
no,272.95,5,Clear,5460,16,6
no,280.09,90,Clouds,4605,12,3
no,270.66,75,Clouds,5816,6,1
no,294.78,90,Drizzle,4403,10,1
no,289.76,1,Rain,5945,7,5
no,302.96,1,Clear,3679,19,4
no,249.71,90,Clouds,2639,5,1
no,293.59,1,Clear,1268,23,4
no,275.29,40,Mist,3830,10,2
no,298.24,20,Clouds,4221,18,2
no,292.36,20,Clouds,5824,13,1
no,261.75,1,Clear,2596,19,7
no,293.94,1,Clear,2227,23,4
no,293.94,90,Rain,5872,17,4
no,251.77,40,Clouds,4604,12,4
no,278.23,90,Snow,6949,16,2
no,293.97,1,Clear,3112,20,3
no,295.43,75,Clouds,1834,22,6
no,266.5,5,Clear,4678,16,5
no,250.84,1,Clear,2311,22,6
no,274.15,1,Mist,5695,6,3
no,266.15,75,Clouds,4975,9,4
no,272.65,5,Mist,6214,8,2
no,280.61,1,Clear,6382,17,4
no,261.65,1,Clear,344,3,5
no,302.53,40,Clouds,4374,18,5
no,283.46,1,Clear,4217,10,4
no,286.71,92,Rain,6873,7,7
no,259.36,1,Clear,826,4,7
no,289.44,1,Clear,6183,15,2
no,269.979,0,Clear,5465,6,5
no,280.35,1,Clear,257,3,5
no,272.65,64,Clouds,2431,21,2
no,274.96,90,Drizzle,2316,22,7
no,285.62,36,Clouds,694,5,5
no,296.19,20,Clouds,4832,11,2
no,259.77,75,Clouds,2316,5,5
no,289.872,92,Clouds,4524,10,5
no,262.63,1,Clear,2565,21,2
no,287.72,90,Rain,5799,6,4
no,255.03,1,Clear,495,1,2
no,272.43,75,Haze,5632,15,4
no,286.51,90,Drizzle,4165,19,6
no,298.76,90,Clouds,4266,10,5
no,296.46,12,Clouds,4817,18,4
no,282.62,20,Clouds,3436,21,2
no,297.48,40,Clouds,6254,16,5
no,291.42,75,Clouds,1002,4,4
no,258.46,5,Clear,6317,16,4
no,287.12,90,Mist,376,3,5
no,268.74,5,Mist,5230,9,3
no,267.57,1,Clear,5963,8,4
no,284.11,40,Clouds,6455,16,2
no,275.28,90,Drizzle,4072,12,4
no,275.35,1,Clear,4599,18,3
no,281.01,90,Rain,6192,17,3
no,302.88,5,Clear,4199,13,6
no,291.09,90,Clouds,1559,22,1
no,296.34,1,Clear,4522,18,7
no,269.03,90,Clouds,6381,16,1
no,276.44,90,Drizzle,4894,11,4
no,275.66,100,Clouds,3827,13,1
no,266.99,64,Clouds,5775,14,2
no,269.53,75,Mist,4744,13,6
no,292.17,36,Clouds,6022,16,1
no,285.61,92,Clouds,3721,9,2
no,295.52,40,Clouds,4934,18,6
no,278.68,40,Clouds,4356,17,7
no,292.29,90,Mist,695,0,4
no,289.69,75,Clouds,4957,14,1
no,289.04,1,Clear,825,0,4
no,295.53,1,Clear,3361,19,4
no,301.27,1,Clear,6256,16,4
no,275.22,90,Drizzle,1670,8,7
no,293.08,90,Rain,6527,16,2
no,289.34,20,Clouds,3139,20,2
no,273.64,1,Clear,4692,18,1
no,288.22,90,Clouds,4886,13,2
no,293.14,90,Rain,345,1,2
no,272.02,1,Mist,904,6,6
no,290.02,90,Rain,581,0,3
no,283.53,1,Haze,384,1,3
no,281.9,1,Clear,3035,23,6
no,285.6,1,Haze,3139,8,2
no,272.49,75,Mist,5642,15,6
no,295.15,1,Clear,4976,14,3
no,274.69,90,Mist,362,1,4
no,293.55,20,Clouds,3043,20,2
no,271.22,90,Snow,285,2,4
no,289.4,90,Drizzle,754,2,7
no,295.62,20,Clouds,1595,6,6
no,293.76,90,Mist,2154,21,2
no,286.22,90,Rain,4734,10,4
no,298.08,75,Thunderstorm,4958,9,5
no,264.52,75,Clouds,3411,12,7
no,275.79,90,Clouds,2453,22,6
no,295.75,48,Clouds,2856,22,6
no,298.1,1,Clear,2621,23,5
no,290.42,5,Clear,4959,17,7
no,272.02,1,Clear,360,1,1
no,271.55,1,Clear,539,4,7
no,279.02,90,Mist,1376,22,7
no,259.36,1,Clear,602,0,6
no,267.12,1,Clear,4537,6,5
no,283.69,1,Fog,1434,7,3
no,285.24,32,Clouds,739,0,1
no,287.4,68,Clouds,6699,7,4
no,274.86,20,Clouds,412,3,5
no,289.29,75,Clouds,4406,10,3
no,292.3,1,Clear,363,3,6
no,282.15,90,Mist,1042,23,2
no,293.38,90,Rain,311,3,4
no,289.81,1,Clear,889,4,5
no,251.07,1,Clear,272,2,3
no,285.64,20,Clouds,633,0,5
no,271.55,90,Snow,4166,13,7
no,267.46,1,Clear,747,1,2
no,285.22,90,Drizzle,4705,12,3
no,288.38,88,Clouds,5164,9,4
no,279.88,1,Clear,5690,8,5
no,270.15,1,Clear,620,2,7
no,291.37,90,Rain,2651,5,5
no,287.99,0,Rain,3741,11,7
no,268.34,90,Snow,5062,14,7
no,254.67,59,Clouds,2428,9,6
no,293.95,1,Clear,3287,20,5
no,298.07,8,Clear,4725,14,4
no,271.15,90,Snow,2887,18,7
no,274.69,90,Snow,2150,21,3
no,281.36,40,Clouds,5676,8,1
no,260.51,90,Snow,1489,22,2
no,268.34,40,Clouds,950,7,7
no,273.02,90,Clouds,6079,15,4
no,270.16,1,Clear,6744,7,1
no,265.52,1,Clear,5128,13,4
no,279.22,1,Clear,4438,11,6
no,263.57,64,Haze,5008,13,6
no,281.4,90,Mist,3161,19,7
no,275.13,90,Clouds,6078,7,2
no,280.17,90,Clouds,5079,13,3
no,275.66,1,Clear,344,3,4
no,273.35,90,Clouds,5265,11,2
no,298.46,1,Rain,3233,20,5
no,267.58,90,Mist,4569,17,5
no,271.49,1,Mist,589,0,5
no,283.48,90,Drizzle,3048,19,6
no,291.13,1,Clear,3087,20,7
no,284.02,1,Clear,3054,5,3
no,292.62,75,Clouds,5119,18,3
no,279.14,1,Clear,1811,22,4
no,284.34,90,Mist,5392,9,3
no,301.15,1,Clear,2939,16,7
no,274.86,75,Snow,5008,13,3
no,265.47,90,Snow,1147,23,5
no,287.48,40,Clouds,4021,18,6
no,289.08,40,Mist,5979,6,3
no,265.08,90,Clouds,2929,10,7
no,289.97,0,Clear,5968,6,6
no,276.11,90,Mist,5842,6,4
no,274.22,90,Rain,3189,18,2
no,249.15,1,Clear,294,3,2
no,278.47,90,Clouds,252,2,2
no,296.36,40,Clouds,6221,17,2
no,297.99,75,Clouds,3946,15,1
no,275.21,90,Drizzle,4679,11,6
no,289.09,40,Clouds,840,4,5
no,291.12,75,Rain,6223,6,2
no,298.24,0,Clear,4187,12,7
no,290.06,75,Clouds,735,0,6
no,295.23,1,Clear,4982,13,2
no,291.02,5,Clear,6147,15,3
no,261.51,90,Snow,2020,23,5
no,294.17,75,Clouds,3382,19,6
no,292.24,1,Rain,6653,7,5
no,292.32,8,Clear,1919,22,1
no,295.16,75,Rain,1126,23,1
no,259.97,90,Clouds,6456,16,5
no,289.95,20,Clouds,5236,13,1
no,271.1,64,Mist,5318,14,3
no,258.36,90,Snow,314,2,5
no,247.15,75,Clouds,3735,17,7
no,271.66,1,Clear,2298,21,7
no,265.14,90,Mist,1280,7,6
no,264.1,57,Clouds,6103,15,4
no,263.22,1,Clear,2761,5,3
no,297.08,76,Clouds,772,2,7
no,278.78,1,Clear,6435,7,5
no,293.51,40,Thunderstorm,2754,5,5
no,278.74,1,Clear,878,23,4
no,293.85,20,Fog,2066,22,5
no,285.43,75,Clouds,6415,7,1
no,286.86,1,Clear,4541,18,6
no,282.82,5,Clear,4105,9,1
no,274.04,90,Mist,5875,8,5
no,280.76,1,Clear,836,4,1
no,289.96,92,Clouds,2571,20,5
no,259.77,90,Clouds,315,1,4
no,288.23,90,Mist,4458,10,3
no,265.94,90,Clouds,2736,9,6
no,301.72,1,Clear,4023,19,3
no,285.95,90,Rain,5210,9,3
no,250.3,1,Clear,4189,9,4
no,280.96,90,Rain,4536,18,3
no,292.93,1,Clear,938,0,4
no,289.77,40,Clouds,3228,19,7
no,296.2,40,Clouds,1860,22,5
no,265.93,40,Snow,4726,10,1
no,265.19,64,Snow,2492,22,6
no,291.69,100,Rain,3164,19,3
no,291.94,1,Mist,643,0,3
no,288.29,56,Clouds,4285,13,3
no,287.27,20,Clouds,5957,17,1
no,259.65,40,Mist,6297,7,5
no,276.66,90,Rain,939,7,7
no,293.318,92,Clouds,4702,9,4
no,269.37,75,Clouds,269,2,2
no,290.18,92,Rain,6015,8,3
no,291.17,1,Clear,2370,22,3
no,264.76,90,Snow,586,2,7
no,285.29,90,Mist,6303,8,4
no,270.48,1,Clear,6766,7,4
no,291.16,1,Mist,307,2,4
no,276.48,90,Drizzle,363,1,7
no,281.69,1,Clear,835,4,2
no,275.22,90,Clouds,4573,18,5
no,285.58,40,Clouds,5895,15,3
no,278.97,1,Mist,634,1,4
no,298.7,40,Clouds,6266,17,4
no,290.22,1,Clear,5032,12,3
no,278.81,90,Rain,5572,14,4
no,284.64,93,Rain,4271,17,7
no,306.37,0,Clear,5073,15,3
no,271.13,90,Mist,265,2,6
no,267.83,64,Clouds,264,4,4
no,295.43,1,Clear,1134,7,7
no,281.85,1,Clear,3126,21,5
no,277.15,75,Clouds,365,3,6
no,287.48,20,Fog,6088,8,2
no,264.68,1,Clear,3299,11,7
no,276.15,1,Drizzle,2539,5,5
no,293.17,20,Clouds,339,3,1
no,261.23,75,Mist,4637,9,5
no,295.36,1,Clear,718,2,1
no,294.35,1,Clear,5332,13,1
no,291.42,90,Clouds,4660,12,1
no,259.59,90,Snow,5338,15,1
no,255.58,1,Snow,6405,7,2
no,285.62,90,Rain,5660,15,6
no,292.46,1,Clear,3618,13,6
no,271.38,90,Mist,2702,21,7
no,300.29,20,Clouds,3247,20,4
no,301.13,1,Clear,4932,18,4
no,287.92,1,Clear,2265,8,3
no,275.87,1,Clear,3294,22,2
no,274.83,1,Clear,4678,17,6
no,294.8,40,Clouds,3316,19,1
no,265.08,1,Clear,1862,8,7
no,297.23,1,Clear,3385,20,4
no,289.76,90,Rain,5327,15,1
no,275.58,90,Clouds,5835,15,3
no,290.22,40,Clouds,2649,8,6
no,278.19,90,Clouds,1142,23,2
no,287.27,24,Clouds,3063,5,7
no,292.59,1,Clear,3110,5,4
no,253.08,1,Clear,3393,12,6
no,289.74,1,Clear,424,1,2
no,274.27,90,Mist,2712,20,2
no,276.94,90,Mist,4639,18,6
no,293.51,90,Rain,400,4,6
no,290.26,20,Clouds,620,0,4
no,289.61,90,Rain,378,1,2
no,275.26,1,Clear,4150,11,7
no,274.94,20,Clouds,4714,11,6
no,274.29,90,Haze,848,4,4
no,292.58,90,Drizzle,2804,20,2
no,284.21,40,Clouds,5532,13,2
no,296.28,75,Clouds,3625,19,4
no,294.14,20,Clouds,5791,17,5
no,286.69,75,Clouds,4513,17,2
no,288.62,40,Clouds,4292,13,1
no,275.87,90,Clouds,3240,10,7
no,271.62,1,Clear,2731,21,4
no,285.51,0,Clear,1754,22,6
no,280.686,64,Clouds,2492,21,4
no,278.74,90,Haze,3921,18,1
no,295.58,90,Mist,627,0,1
no,303.45,90,Clouds,4651,18,1
no,273.2,90,Clouds,4608,11,3
no,263.01,1,Mist,1043,0,6
no,279.37,90,Clouds,4086,19,4
no,285.08,1,Clear,1537,22,1
no,290.15,90,Rain,5557,17,5
no,301.08,40,Clouds,5945,15,5
no,288.58,75,Thunderstorm,5388,15,1
no,273.32,90,Mist,5177,15,6
no,262.21,64,Clouds,6158,8,3
no,258.22,1,Haze,670,2,1
no,285.75,90,Mist,5278,9,7
no,301.84,0,Rain,3771,19,4
no,277.46,40,Clouds,4555,16,7
no,273.86,90,Drizzle,5652,6,2
no,274.43,90,Haze,5649,14,3
no,276.41,90,Clouds,592,0,2
no,269.0,1,Clear,587,0,1
no,297.74,1,Mist,249,2,4
no,292.14,5,Clear,4717,10,5
no,293.95,1,Clear,981,7,7
no,284.05,48,Clouds,870,6,7
no,277.14,90,Rain,385,5,7
no,300.63,75,Clouds,5513,13,1
no,291.7,90,Rain,5185,13,7
no,272.16,75,Clouds,755,6,7
no,288.86,1,Clear,898,4,5
no,274.29,90,Mist,301,3,1
no,296.16,0,Clear,399,1,3
no,284.7,68,Clouds,414,4,2
no,276.5,75,Clouds,6095,17,1
no,275.65,90,Snow,5214,14,3
no,291.85,90,Drizzle,4971,9,5
no,298.62,1,Clear,3071,20,2
no,283.85,1,Clear,2423,9,6
no,281.48,1,Clear,2944,5,4
no,281.022,48,Clouds,3025,5,1
no,271.43,5,Clear,4701,11,2
no,271.15,5,Clear,6669,16,2
no,291.46,75,Rain,576,0,2
no,276.66,1,Mist,313,2,3
no,299.02,80,Clouds,5690,14,1
no,263.72,75,Snow,6589,7,1
no,275.94,1,Clear,1884,22,2
no,269.69,90,Clouds,3302,19,4
no,270.75,90,Haze,3660,15,6
no,291.61,90,Mist,858,5,6
no,293.43,20,Clouds,5186,13,4
no,294.34,1,Clear,883,4,4
no,285.38,1,Clear,335,3,4
no,269.69,40,Snow,5069,12,2
no,282.97,90,Rain,2111,21,1
no,297.97,40,Clouds,3415,13,1
no,288.38,1,Mist,401,3,7
no,285.39,92,Rain,343,2,3
no,285.44,90,Mist,1989,7,1
no,296.58,1,Clear,3367,19,2
no,258.46,90,Mist,3703,9,3
no,275.59,90,Clouds,4722,13,4
no,294.05,0,Clear,1310,6,5
no,287.4,1,Clear,690,1,4
no,294.36,76,Rain,549,3,4
no,272.35,90,Snow,4265,8,5
no,296.04,0,Clear,4605,16,2
no,287.42,75,Clouds,4496,13,6
no,282.08,1,Clear,463,3,4
no,257.69,90,Snow,435,1,5
no,280.15,75,Clouds,5073,14,7
no,294.33,1,Clear,4482,17,7
no,272.68,90,Rain,4839,9,5
no,267.01,90,Clouds,589,2,7
no,272.52,90,Snow,238,2,1
no,298.95,75,Clouds,3434,20,6
no,302.49,56,Clouds,4946,12,3
no,283.02,90,Clouds,4782,10,5
no,293.51,90,Clouds,5098,12,3
no,293.55,90,Rain,5001,13,2
no,271.6,90,Snow,2543,20,5
no,294.09,1,Drizzle,430,1,5
no,294.89,90,Thunderstorm,790,0,5
no,270.08,90,Clouds,6836,7,4
no,275.02,90,Mist,4207,13,7
no,282.75,90,Thunderstorm,5414,6,2
no,292.25,90,Rain,3368,19,3
no,296.69,75,Rain,2284,22,4
no,277.12,90,Rain,5544,15,2
no,261.82,90,Mist,425,1,6
no,249.75,40,Clouds,720,6,6
no,292.68,90,Clouds,3362,20,4
no,290.37,92,Rain,2542,7,6
no,290.96,90,Rain,500,4,6
no,300.36,20,Clouds,2438,20,1
no,270.08,1,Clear,4455,16,5
no,290.4,1,Clear,370,3,4
no,289.75,1,Clear,6725,16,2
no,288.21,1,Clear,745,5,6
no,284.29,1,Clear,392,4,6
no,275.08,90,Clouds,3073,19,2
no,274.98,20,Clouds,486,4,6
no,268.01,1,Clear,6275,7,3
no,292.54,75,Rain,4320,11,7
no,278.16,75,Clouds,5573,6,5
no,264.08,90,Clouds,392,1,4
no,291.11,88,Clouds,5944,8,2
no,259.04,1,Clear,2581,5,4
no,297.88,0,Clear,5333,13,4
no,294.94,75,Clouds,4663,11,4
no,275.21,1,Clear,2981,19,2
no,296.17,0,Clear,6015,17,4
no,271.72,40,Haze,2885,22,2
no,296.88,12,Clouds,5947,15,6
no,274.66,1,Mist,5041,9,3
no,290.39,90,Clouds,3627,9,7
no,291.0,90,Mist,5109,14,2
no,294.86,90,Mist,2281,21,3
no,269.51,90,Thunderstorm,1461,16,6
no,263.93,90,Clouds,1313,0,6
no,299.76,1,Clear,3115,21,2
no,299.25,90,Clouds,4027,12,3
no,294.35,75,Clouds,4091,12,6
no,256.15,20,Clouds,264,4,2
no,294.02,40,Clouds,3432,20,7
no,294.43,40,Clouds,2666,9,7
no,291.44,90,Drizzle,5852,15,2
no,297.07,90,Rain,4946,14,6
no,263.9,40,Clouds,3799,19,2
no,269.58,90,Haze,2591,21,3
no,271.42,1,Clear,6381,7,4
no,305.15,1,Clear,5770,14,7
no,283.02,0,Clear,5522,6,5
no,274.67,90,Fog,1070,23,4
no,276.89,1,Mist,5156,14,4
no,261.16,40,Clouds,5310,9,3
no,280.87,90,Drizzle,4683,13,6
no,289.08,90,Mist,5032,13,3
no,268.08,75,Clouds,586,3,4
no,299.75,75,Clouds,5138,14,3
no,273.08,90,Clouds,5124,9,6
no,279.87,90,Clouds,375,1,4
no,261.95,1,Clear,1471,23,1
no,286.15,90,Mist,2625,22,6
no,274.28,1,Fog,315,1,2
no,299.49,40,Thunderstorm,393,4,7
no,285.91,1,Mist,1712,6,6
no,293.66,90,Rain,387,2,5
no,261.27,90,Clouds,6212,17,7
no,287.21,1,Clear,870,4,7
no,299.26,0,Clear,6146,17,4
no,288.07,40,Mist,336,3,6
no,288.5,90,Clouds,4489,10,2
no,300.37,1,Clear,5148,13,5
no,284.15,1,Clear,6476,17,2
no,287.57,0,Clear,544,5,5
no,286.28,1,Clear,4300,11,7
no,297.71,0,Rain,4913,17,2
no,259.92,90,Snow,4178,17,4
no,274.74,90,Clouds,1985,8,7
no,280.15,20,Clouds,5401,12,5
no,275.29,20,Clouds,397,4,4
no,270.42,90,Snow,4015,14,7
no,296.26,40,Clouds,4305,14,4
no,288.57,40,Rain,363,1,3
no,293.4,1,Clear,5299,8,3
no,287.24,40,Clouds,4200,19,5
no,291.94,75,Drizzle,1700,22,1
no,292.78,1,Clear,2832,8,6
no,287.66,40,Clouds,4725,18,6
no,273.28,1,Clear,5600,8,5
no,285.94,100,Thunderstorm,793,4,3
no,295.58,40,Clouds,1280,0,6
no,281.5,90,Drizzle,6540,17,3
no,271.74,90,Snow,4208,17,5
no,296.15,90,Rain,698,1,7
no,276.4,90,Haze,3487,19,3
no,262.88,1,Haze,4524,6,1
no,279.69,1,Clear,3415,8,6
no,273.01,40,Clouds,4885,10,4
no,270.22,90,Snow,3404,8,7
no,278.02,1,Clear,2547,23,5
no,269.07,40,Mist,542,0,7
no,279.86,20,Rain,5290,9,3
no,292.0,1,Clear,4380,9,5
no,298.16,40,Clouds,2804,21,6
no,279.83,40,Clouds,6116,12,6
no,262.85,40,Clouds,2597,5,1
no,265.32,90,Snow,1018,6,6
no,254.22,1,Clear,302,3,5
no,288.09,0,Clear,1611,8,5
no,299.94,1,Clear,4941,18,3
no,274.29,1,Clear,4070,10,2
no,289.0,20,Clouds,3457,19,5
no,292.46,1,Clear,3642,19,7
no,278.18,40,Clouds,2661,9,6
no,257.01,90,Haze,3307,10,1
no,286.72,1,Fog,1374,6,1
no,277.29,1,Clear,3727,21,1
no,272.936,0,Clear,1179,6,6
no,290.21,1,Mist,614,2,7
no,288.45,20,Clouds,2764,20,1
no,270.76,90,Snow,6271,17,1
no,296.21,1,Clear,1254,23,3
no,299.53,1,Clear,2929,21,5
no,257.74,1,Clear,6008,17,4
no,290.77,90,Rain,4517,14,4
no,262.84,90,Snow,3331,18,2
no,285.72,90,Drizzle,405,4,1
no,278.82,90,Mist,840,4,4
no,295.91,1,Clear,3511,19,4
no,274.42,90,Mist,6184,16,2
no,276.48,1,Clear,5204,12,1
no,297.69,20,Clouds,3956,10,7
no,266.48,75,Snow,2402,5,3
no,271.73,90,Rain,2712,5,4
no,270.18,90,Clouds,4994,9,4
no,297.25,0,Clear,3389,19,7
no,255.15,5,Clear,2370,20,6
no,270.68,90,Snow,901,4,7
no,279.22,1,Clear,358,1,4
no,288.54,90,Mist,6516,7,2
no,300.96,44,Rain,5849,14,4
no,283.03,1,Clear,5713,15,3
no,290.67,90,Smoke,890,1,2
no,288.48,1,Clear,1166,23,2
no,282.88,90,Drizzle,6513,17,3
no,295.22,20,Clouds,3410,19,2
no,271.42,64,Mist,3556,12,5
no,268.02,90,Fog,353,0,7
no,279.33,20,Clouds,6736,16,3
no,258.36,75,Snow,4800,16,1
no,294.27,90,Clouds,5056,11,4
no,292.089,8,Clear,3577,19,5
no,275.08,40,Clouds,4746,16,1
no,294.73,90,Drizzle,4137,17,1
no,260.76,1,Clear,373,3,3
no,256.51,1,Clear,1094,0,6
no,263.07,90,Mist,2669,19,4
no,262.54,75,Clouds,800,4,2
no,284.21,0,Clear,6088,15,3
no,289.95,1,Clear,5604,8,5
no,281.75,1,Clear,5480,9,2
no,295.82,1,Haze,971,0,1
no,281.5,1,Mist,1435,5,6
no,294.03,90,Rain,5129,13,4
no,285.64,40,Fog,4389,10,3
no,274.15,90,Mist,4303,10,5
no,274.79,90,Rain,1532,22,4
no,294.55,1,Mist,962,6,2
no,265.36,1,Clear,844,1,6
no,272.68,90,Mist,5538,8,5
no,281.15,90,Rain,5687,6,3
no,288.81,90,Mist,4802,11,3
no,279.52,1,Clear,3657,19,2
no,282.55,0,Clear,910,6,3
no,274.15,90,Snow,3203,19,2
no,295.51,1,Clear,6103,15,1
no,274.44,64,Mist,272,2,2
no,288.0,12,Clouds,4438,10,2
no,269.89,90,Mist,5929,7,7
no,274.82,90,Rain,3193,10,2
no,272.82,1,Mist,1662,22,3
no,302.96,40,Clouds,5654,15,6
no,288.36,1,Fog,966,5,6
no,289.47,92,Mist,386,3,6
no,268.68,1,Mist,2844,5,1
no,290.24,1,Clear,1238,23,5
no,284.09,93,Drizzle,4358,14,7
no,274.82,90,Snow,4823,15,6
no,288.09,1,Rain,395,3,7
no,268.72,40,Clouds,539,0,1
no,283.33,20,Clouds,2714,5,5
no,289.02,1,Clear,4459,11,5
no,300.65,75,Clouds,4000,18,5
no,291.31,90,Rain,826,4,5
no,280.28,1,Clear,3058,5,2
no,286.75,90,Clouds,5263,11,6
no,289.15,90,Clouds,1702,22,6
no,297.43,1,Clear,3421,20,6
no,288.5,1,Haze,3138,19,2
no,273.28,90,Clouds,900,4,5
no,264.0,75,Clouds,5821,6,3
no,299.68,5,Clear,6576,16,3
no,263.792,0,Clear,2731,5,3
no,273.02,1,Clear,6552,16,3
no,280.08,90,Mist,293,1,5
no,295.22,40,Clouds,4027,14,7
no,286.99,90,Mist,5556,14,3
no,299.59,75,Clouds,5115,14,3
no,261.46,64,Clouds,5270,12,5
no,295.86,75,Clouds,3766,10,7
no,299.8,0,Clear,4850,15,3
no,281.37,75,Clouds,5840,8,5
no,301.03,40,Clouds,6670,16,2
no,300.71,40,Clouds,3857,14,7
no,271.15,20,Haze,5736,8,3
no,277.53,90,Rain,6499,7,5
no,275.87,90,Rain,2211,21,2
no,282.23,1,Clear,2692,20,7
no,274.51,90,Snow,260,2,1
no,274.94,90,Mist,1150,7,7
no,256.36,20,Snow,484,0,4
no,299.06,36,Thunderstorm,6350,15,2
